index,checking_status,months_duration,credit_history,purpose,credit_amount,savings_status,employment_since,installment_rate,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,target
0,< 0 DM,6,critical account / other credits elsewhere,radio/television,1169,unknown / none,≥ 7 years,4,male: single,none,4,real estate,67,none,own,2,skilled employee/official,1,"yes, registered",yes,0
1,0 ≤ ... < 200 DM,48,existing credits paid duly till now,radio/television,5951,< 100 DM,1 ≤ ... < 4 years,2,female: divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee/official,1,none,yes,1
2,no checking account,12,critical account / other credits elsewhere,education,2096,< 100 DM,4 ≤ ... < 7 years,2,male: single,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,0
3,< 0 DM,42,existing credits paid duly till now,furniture/equipment,7882,< 100 DM,4 ≤ ... < 7 years,2,male: single,guarantor,4,building-soc savings / life insurance,45,none,for free,1,skilled employee/official,2,none,yes,0
4,< 0 DM,24,delay in past,car (new),4870,< 100 DM,1 ≤ ... < 4 years,3,male: single,none,4,unknown / none,53,none,for free,2,skilled employee/official,2,none,yes,1
5,no checking account,36,existing credits paid duly till now,education,9055,unknown / none,1 ≤ ... < 4 years,2,male: single,none,4,unknown / none,35,none,for free,1,unskilled - resident,2,"yes, registered",yes,0
6,no checking account,24,existing credits paid duly till now,furniture/equipment,2835,500 ≤ ... < 1000 DM,≥ 7 years,3,male: single,none,4,building-soc savings / life insurance,53,none,own,1,skilled employee/official,1,none,yes,0
7,0 ≤ ... < 200 DM,36,existing credits paid duly till now,car (used),6948,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,2,car or other (not in savings),35,none,rent,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
8,no checking account,12,existing credits paid duly till now,radio/television,3059,≥ 1000 DM,4 ≤ ... < 7 years,2,male: divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,0
9,0 ≤ ... < 200 DM,30,critical account / other credits elsewhere,car (new),5234,< 100 DM,unemployed,4,male: married/widowed,none,2,car or other (not in savings),28,none,own,2,management/self-employed/highly-qualified/officer,1,none,yes,1
10,0 ≤ ... < 200 DM,12,existing credits paid duly till now,car (new),1295,< 100 DM,< 1 year,3,female: divorced/separated/married,none,1,car or other (not in savings),25,none,rent,1,skilled employee/official,1,none,yes,1
11,< 0 DM,48,existing credits paid duly till now,business,4308,< 100 DM,< 1 year,3,female: divorced/separated/married,none,4,building-soc savings / life insurance,24,none,rent,1,skilled employee/official,1,none,yes,1
12,0 ≤ ... < 200 DM,12,existing credits paid duly till now,radio/television,1567,< 100 DM,1 ≤ ... < 4 years,1,female: divorced/separated/married,none,1,car or other (not in savings),22,none,own,1,skilled employee/official,1,"yes, registered",yes,0
13,< 0 DM,24,critical account / other credits elsewhere,car (new),1199,< 100 DM,≥ 7 years,4,male: single,none,4,car or other (not in savings),60,none,own,2,unskilled - resident,1,none,yes,1
14,< 0 DM,15,existing credits paid duly till now,car (new),1403,< 100 DM,1 ≤ ... < 4 years,2,female: divorced/separated/married,none,4,car or other (not in savings),28,none,rent,1,skilled employee/official,1,none,yes,0
15,< 0 DM,24,existing credits paid duly till now,radio/television,1282,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,2,car or other (not in savings),32,none,own,1,unskilled - resident,1,none,yes,1
16,no checking account,24,critical account / other credits elsewhere,radio/television,2424,unknown / none,≥ 7 years,4,male: single,none,4,building-soc savings / life insurance,53,none,own,2,skilled employee/official,1,none,yes,0
17,< 0 DM,30,no credits / all paid duly,business,8072,unknown / none,< 1 year,2,male: single,none,3,car or other (not in savings),25,bank,own,3,skilled employee/official,1,none,yes,0
18,0 ≤ ... < 200 DM,24,existing credits paid duly till now,car (used),12579,< 100 DM,≥ 7 years,4,female: divorced/separated/married,none,2,unknown / none,44,none,for free,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
19,no checking account,24,existing credits paid duly till now,radio/television,3430,500 ≤ ... < 1000 DM,≥ 7 years,3,male: single,none,2,car or other (not in savings),31,none,own,1,skilled employee/official,2,"yes, registered",yes,0
20,no checking account,9,critical account / other credits elsewhere,car (new),2134,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,4,car or other (not in savings),48,none,own,3,skilled employee/official,1,"yes, registered",yes,0
